country,subject,source,dateS,count
Brésil,Général,Diario da Regiao,2016-04-21,6
Brésil,Général,Diario da Regiao,2016-04-22,95
Brésil,Général,Diario da Regiao,2016-04-23,87
Brésil,Général,Diario da Regiao,2016-04-24,152
Brésil,Général,Diario da Regiao,2016-04-25,127
Brésil,Général,Diario da Regiao,2016-04-26,181
Brésil,Général,Diario da Regiao,2016-04-27,164
Brésil,Général,Diario da Regiao,2016-04-28,177
Brésil,Général,Diario da Regiao,2016-04-29,200
Brésil,Général,Diario da Regiao,2016-04-30,56
Brésil,Général,Diario da Regiao,2016-05-01,77
Brésil,Général,Diario da Regiao,2016-05-02,190
Brésil,Général,Diario da Regiao,2016-05-03,170
Brésil,Général,Diario da Regiao,2016-05-04,186
Brésil,Général,Diario da Regiao,2016-05-05,228
Brésil,Général,Diario da Regiao,2016-05-06,161
Brésil,Général,Diario da Regiao,2016-05-07,94
Brésil,Général,Diario da Regiao,2016-05-08,101
Brésil,Général,Diario da Regiao,2016-05-09,4
Brésil,Général,Diario da Regiao,2016-05-10,130
Brésil,Général,Diario da Regiao,2016-05-11,171
Brésil,Général,Diario da Regiao,2016-05-12,236
Brésil,Général,Diario da Regiao,2016-05-13,211
Brésil,Général,Diario da Regiao,2016-05-14,58
Brésil,Général,Diario da Regiao,2016-05-15,89
Brésil,Général,Diario da Regiao,2016-05-16,151
Brésil,Général,Diario da Regiao,2016-05-17,202
Brésil,Général,Diario da Regiao,2016-05-18,213
Brésil,Général,Diario da Regiao,2016-05-19,171
Brésil,Général,Diario da Regiao,2016-05-20,123
Brésil,Général,Diario da Regiao,2016-05-21,84
Brésil,Général,Diario da Regiao,2016-05-22,84
Brésil,Général,Diario da Regiao,2016-05-23,180
Brésil,Général,Diario da Regiao,2016-05-24,187
Brésil,Général,Diario da Regiao,2016-05-25,152
Brésil,Général,Diario da Regiao,2016-05-26,133
Brésil,Général,Diario da Regiao,2016-05-27,119
Brésil,Général,Diario da Regiao,2016-05-28,126
Brésil,Général,Diario da Regiao,2016-06-03,56
Brésil,Général,Diario da Regiao,2016-06-04,102
Brésil,Général,Diario da Regiao,2016-06-05,47
Brésil,Général,Diario da Regiao,2016-06-06,220
Brésil,Général,Diario da Regiao,2016-06-07,184
Brésil,Général,Diario da Regiao,2016-06-08,186
Brésil,Général,Diario da Regiao,2016-06-09,154
Brésil,Général,Diario da Regiao,2016-06-10,126
Brésil,Général,Diario da Regiao,2016-06-11,85
Brésil,Général,Diario da Regiao,2016-06-14,210
Brésil,Général,Diario da Regiao,2016-06-15,116
Brésil,Général,Diario da Regiao,2016-06-16,137
