country,subject,source,dateS,count
Brésil,Général,Diario da Regiao,2016-06-21,214
Brésil,Général,Diario da Regiao,2016-06-22,173
Brésil,Général,Diario da Regiao,2016-06-23,169
Brésil,Général,Diario da Regiao,2016-06-24,192
Brésil,Général,Diario da Regiao,2016-06-25,29
Brésil,Général,Diario da Regiao,2016-06-26,87
Brésil,Général,Diario da Regiao,2016-06-27,137
Brésil,Général,Diario da Regiao,2016-06-28,169
Brésil,Général,Diario da Regiao,2016-06-29,183
Brésil,Général,Diario da Regiao,2016-06-30,167
Brésil,Général,Diario da Regiao,2016-07-01,89
Brésil,Général,Diario da Regiao,2016-07-02,180
Brésil,Général,Diario da Regiao,2016-07-23,119
Brésil,Général,Diario da Regiao,2016-07-24,70
Brésil,Général,Diario da Regiao,2016-07-25,159
Brésil,Général,Diario da Regiao,2016-07-26,146
Brésil,Général,Diario da Regiao,2016-07-27,131
Brésil,Général,Diario da Regiao,2016-07-28,139
Brésil,Général,Diario da Regiao,2016-07-29,143
Brésil,Général,Diario da Regiao,2016-07-30,108
Brésil,Général,Diario da Regiao,2016-07-31,50
Brésil,Général,Diario da Regiao,2016-08-01,163
Brésil,Général,Diario da Regiao,2016-08-02,131
Brésil,Général,Diario da Regiao,2016-08-03,153
Brésil,Général,Diario da Regiao,2016-08-04,144
Brésil,Général,Diario da Regiao,2016-08-05,127
Brésil,Général,Diario da Regiao,2016-08-06,113
Brésil,Général,Diario da Regiao,2016-08-07,27
Brésil,Général,Diario da Regiao,2016-08-08,107
Brésil,Général,Diario da Regiao,2016-08-09,104
Brésil,Général,Diario da Regiao,2016-08-10,71
Brésil,Général,Diario da Regiao,2016-08-11,244
Brésil,Général,Diario da Regiao,2016-08-12,202
Brésil,Général,Diario da Regiao,2016-08-13,46
Brésil,Général,Diario da Regiao,2016-08-14,46
Brésil,Général,Diario da Regiao,2016-08-15,186
Brésil,Général,Diario da Regiao,2016-08-16,218
Brésil,Général,Diario da Regiao,2016-08-17,217
Brésil,Général,Diario da Regiao,2016-08-18,191
Brésil,Général,Diario da Regiao,2016-08-19,167
Brésil,Général,Diario da Regiao,2016-08-20,148
Brésil,Général,Diario da Regiao,2016-08-21,93
Brésil,Général,Diario da Regiao,2016-08-22,168
Brésil,Général,Diario da Regiao,2016-08-23,168
Brésil,Général,Diario da Regiao,2016-08-24,163
Brésil,Général,Diario da Regiao,2016-08-25,181
Brésil,Général,Diario da Regiao,2016-08-26,150
Brésil,Général,Diario da Regiao,2016-08-27,114
Brésil,Général,Diario da Regiao,2016-08-28,133
Brésil,Général,Diario da Regiao,2016-08-29,191
Brésil,Général,Diario da Regiao,2016-08-30,240
Brésil,Général,Diario da Regiao,2016-08-31,272
Brésil,Général,Diario da Regiao,2016-09-01,156
Brésil,Général,Diario da Regiao,2016-09-06,230
Brésil,Général,Diario da Regiao,2016-09-07,139
Brésil,Général,Diario da Regiao,2016-09-08,140
Brésil,Général,Diario da Regiao,2016-09-09,168
Brésil,Général,Diario da Regiao,2016-09-10,108
Brésil,Général,Diario da Regiao,2016-09-17,121
Brésil,Général,Diario da Regiao,2016-09-18,60
Brésil,Général,Diario da Regiao,2016-09-19,173
Brésil,Général,Diario da Regiao,2016-09-20,156
Brésil,Général,Diario da Regiao,2016-09-21,150
Brésil,Général,Diario da Regiao,2016-09-22,170
Brésil,Général,Diario da Regiao,2016-09-23,143
Brésil,Général,Diario da Regiao,2016-09-24,96
Brésil,Général,Diario da Regiao,2016-09-25,9
Brésil,Général,Diario da Regiao,2016-09-26,210
Brésil,Général,Diario da Regiao,2016-09-27,145
Brésil,Général,Diario da Regiao,2016-09-28,218
Brésil,Général,Diario da Regiao,2016-09-29,246
Brésil,Général,Diario da Regiao,2016-09-30,229
Brésil,Général,Diario da Regiao,2016-10-01,188
Brésil,Général,Diario da Regiao,2016-10-02,237
Brésil,Général,Diario da Regiao,2016-10-03,230
Brésil,Général,Diario da Regiao,2016-10-04,253
Brésil,Général,Diario da Regiao,2016-10-05,230
Brésil,Général,Diario da Regiao,2016-10-06,252
Brésil,Général,Diario da Regiao,2016-10-07,183
Brésil,Général,Diario da Regiao,2016-10-08,39
Brésil,Général,Diario da Regiao,2016-10-09,82
Brésil,Général,Diario da Regiao,2016-10-10,150
Brésil,Général,Diario da Regiao,2016-10-11,144
Brésil,Général,Diario da Regiao,2016-10-12,116
Brésil,Général,Diario da Regiao,2016-10-13,147
Brésil,Général,Diario da Regiao,2016-10-14,119
Brésil,Général,Diario da Regiao,2016-10-15,55
Brésil,Général,Diario da Regiao,2016-10-16,68
Brésil,Général,Diario da Regiao,2016-10-17,172
Brésil,Général,Diario da Regiao,2016-10-18,117
Brésil,Général,Diario da Regiao,2016-10-20,205
Brésil,Général,Diario da Regiao,2016-10-21,137
Brésil,Général,Diario da Regiao,2016-10-22,41
Brésil,Général,Diario da Regiao,2016-10-23,124
Brésil,Général,Diario da Regiao,2016-10-24,128
Brésil,Général,Diario da Regiao,2016-10-25,163
Brésil,Général,Diario da Regiao,2016-10-26,165
Brésil,Général,Diario da Regiao,2016-10-27,163
Brésil,Général,Diario da Regiao,2016-10-28,147
Brésil,Général,Diario da Regiao,2016-10-29,116
Brésil,Général,Diario da Regiao,2016-10-30,140
Brésil,Général,Diario da Regiao,2016-10-31,80
Brésil,Général,Diario da Regiao,2016-11-01,106
Brésil,Général,Diario da Regiao,2016-11-02,154
Brésil,Général,Diario da Regiao,2016-11-03,153
Brésil,Général,Diario da Regiao,2016-11-04,158
Brésil,Général,Diario da Regiao,2016-11-05,85
Brésil,Général,Diario da Regiao,2016-11-06,22
Brésil,Général,Diario da Regiao,2016-11-07,97
Brésil,Général,Diario da Regiao,2016-11-08,279
Brésil,Général,Diario da Regiao,2016-11-09,209
Brésil,Général,Diario da Regiao,2016-11-10,162
Brésil,Général,Diario da Regiao,2016-11-11,147
Brésil,Général,Diario da Regiao,2016-11-12,48
Brésil,Général,Diario da Regiao,2016-11-13,66
Brésil,Général,Diario da Regiao,2016-11-14,151
Brésil,Général,Diario da Regiao,2016-11-15,100
Brésil,Général,Diario da Regiao,2016-11-16,147
Brésil,Général,Diario da Regiao,2016-11-17,166
Brésil,Général,Diario da Regiao,2016-11-18,139
Brésil,Général,Diario da Regiao,2016-11-19,69
Brésil,Général,Diario da Regiao,2016-11-20,50
Brésil,Général,Diario da Regiao,2016-11-21,155
Brésil,Général,Diario da Regiao,2016-11-22,107
Brésil,Général,Diario da Regiao,2016-11-23,297
Brésil,Général,Diario da Regiao,2016-11-24,265
Brésil,Général,Diario da Regiao,2016-11-25,223
Brésil,Général,Diario da Regiao,2016-11-26,147
Brésil,Général,Diario da Regiao,2016-11-27,94
Brésil,Général,Diario da Regiao,2016-11-28,240
Brésil,Général,Diario da Regiao,2016-11-29,232
Brésil,Général,Diario da Regiao,2016-11-30,267
Brésil,Général,Diario da Regiao,2016-12-01,245
Brésil,Général,Diario da Regiao,2016-12-02,163
Brésil,Général,Diario da Regiao,2016-12-03,86
Brésil,Général,Diario da Regiao,2016-12-04,104
Brésil,Général,Diario da Regiao,2016-12-05,101
Brésil,Général,Diario da Regiao,2016-12-06,183
Brésil,Général,Diario da Regiao,2016-12-07,198
Brésil,Général,Diario da Regiao,2016-12-08,188
Brésil,Général,Diario da Regiao,2016-12-09,154
Brésil,Général,Diario da Regiao,2016-12-10,87
Brésil,Général,Diario da Regiao,2016-12-11,108
Brésil,Général,Diario da Regiao,2016-12-12,126
Brésil,Général,Diario da Regiao,2016-12-13,68
Brésil,Général,Diario da Regiao,2016-12-17,60
Brésil,Général,Diario da Regiao,2016-12-18,88
Brésil,Général,Diario da Regiao,2016-12-19,116
Brésil,Général,Diario da Regiao,2016-12-20,123
Brésil,Général,Diario da Regiao,2016-12-21,139
Brésil,Général,Diario da Regiao,2016-12-22,142
Brésil,Général,Diario da Regiao,2016-12-23,158
Brésil,Général,Diario da Regiao,2016-12-24,89
Brésil,Général,Diario da Regiao,2016-12-26,176
Brésil,Général,Diario da Regiao,2016-12-27,155
Brésil,Général,Diario da Regiao,2016-12-28,115
Brésil,Général,Diario da Regiao,2016-12-29,111
Brésil,Général,Diario da Regiao,2016-12-30,116
Brésil,Général,Diario da Regiao,2016-12-31,40
Brésil,Général,Diario da Regiao,2017-01-01,70
Brésil,Général,Diario da Regiao,2017-01-02,121
Brésil,Général,Diario da Regiao,2017-01-03,128
Brésil,Général,Diario da Regiao,2017-01-04,146
Brésil,Général,Diario da Regiao,2017-01-05,143
Brésil,Général,Diario da Regiao,2017-01-06,140
Brésil,Général,Diario da Regiao,2017-01-07,65
Brésil,Général,Diario da Regiao,2017-01-08,131
Brésil,Général,Diario da Regiao,2017-01-09,161
Brésil,Général,Diario da Regiao,2017-01-10,191
Brésil,Général,Diario da Regiao,2017-01-11,167
Brésil,Général,Diario da Regiao,2017-01-13,179
Brésil,Général,Diario da Regiao,2017-01-14,72
Brésil,Général,Diario da Regiao,2017-01-15,100
Brésil,Général,Diario da Regiao,2017-01-16,115
Brésil,Général,Diario da Regiao,2017-01-17,166
Brésil,Général,Diario da Regiao,2017-01-18,155
Brésil,Général,Diario da Regiao,2017-01-19,149
Brésil,Général,Diario da Regiao,2017-01-20,172
Brésil,Général,Diario da Regiao,2017-01-21,79
Brésil,Général,Diario da Regiao,2017-01-22,111
Brésil,Général,Diario da Regiao,2017-01-23,118
Brésil,Général,Diario da Regiao,2017-01-24,185
Brésil,Général,Diario da Regiao,2017-01-25,98
Brésil,Général,Diario da Regiao,2017-01-26,183
Brésil,Général,Diario da Regiao,2017-01-27,160
Brésil,Général,Diario da Regiao,2017-01-28,77
Brésil,Général,Diario da Regiao,2017-01-29,86
Brésil,Général,Diario da Regiao,2017-01-30,143
Brésil,Général,Diario da Regiao,2017-01-31,159
Brésil,Général,Diario da Regiao,2017-02-01,163
Brésil,Général,Diario da Regiao,2017-02-02,211
Brésil,Général,Diario da Regiao,2017-02-03,150
Brésil,Général,Diario da Regiao,2017-02-04,84
Brésil,Général,Diario da Regiao,2017-02-05,136
Brésil,Général,Diario da Regiao,2017-02-06,19
Brésil,Général,Diario da Regiao,2017-02-16,147
Brésil,Général,Diario da Regiao,2017-02-17,187
Brésil,Général,Diario da Regiao,2017-02-18,65
Brésil,Général,Diario da Regiao,2017-02-19,68
Brésil,Général,Diario da Regiao,2017-02-20,196
Brésil,Général,Diario da Regiao,2017-02-21,169
Brésil,Général,Diario da Regiao,2017-02-22,188
Brésil,Général,Diario da Regiao,2017-02-23,162
Brésil,Général,Diario da Regiao,2017-02-24,142
Brésil,Général,Diario da Regiao,2017-02-25,94
Brésil,Général,Diario da Regiao,2017-02-26,44
Brésil,Général,Diario da Regiao,2017-02-27,102
Brésil,Général,Diario da Regiao,2017-02-28,123
Brésil,Général,Diario da Regiao,2017-03-01,140
Brésil,Général,Diario da Regiao,2017-03-02,151
Brésil,Général,Diario da Regiao,2017-03-03,100
Brésil,Général,Diario da Regiao,2017-03-22,98
Brésil,Général,Diario da Regiao,2017-03-23,184
Brésil,Général,Diario da Regiao,2017-03-24,155
Brésil,Général,Diario da Regiao,2017-03-25,96
Brésil,Général,Diario da Regiao,2017-03-26,82
Brésil,Général,Diario da Regiao,2017-03-27,149
Brésil,Général,Diario da Regiao,2017-03-28,151
Brésil,Général,Diario da Regiao,2017-03-29,170
Brésil,Général,Diario da Regiao,2017-03-30,173
Brésil,Général,Diario da Regiao,2017-03-31,160
Brésil,Général,Diario da Regiao,2017-04-01,98
Brésil,Général,Diario da Regiao,2017-04-02,65
Brésil,Général,Diario da Regiao,2017-04-03,152
Brésil,Général,Diario da Regiao,2017-04-04,182
Brésil,Général,Diario da Regiao,2017-04-05,151
Brésil,Général,Diario da Regiao,2017-04-06,158
Brésil,Général,Diario da Regiao,2017-04-07,146
Brésil,Général,Diario da Regiao,2017-04-08,96
Brésil,Général,Diario da Regiao,2017-04-09,54
Brésil,Général,Diario da Regiao,2017-04-10,168
Brésil,Général,Diario da Regiao,2017-04-11,158
Brésil,Général,Diario da Regiao,2017-04-12,171
Brésil,Général,Diario da Regiao,2017-04-13,160
Brésil,Général,Diario da Regiao,2017-04-14,150
Brésil,Général,Diario da Regiao,2017-04-15,130
Brésil,Général,Diario da Regiao,2017-04-16,99
Brésil,Général,Diario da Regiao,2017-04-17,201
Brésil,Général,Diario da Regiao,2017-04-18,201
Brésil,Général,Diario da Regiao,2017-04-19,216
Brésil,Général,Diario da Regiao,2017-04-20,187
Brésil,Général,Diario da Regiao,2017-04-21,152
Brésil,Général,Diario da Regiao,2017-04-22,114
Brésil,Général,Diario da Regiao,2017-04-23,98
Brésil,Général,Diario da Regiao,2017-04-24,192
Brésil,Général,Diario da Regiao,2017-04-25,189
Brésil,Général,Diario da Regiao,2017-04-26,203
Brésil,Général,Diario da Regiao,2017-04-27,171
Brésil,Général,Diario da Regiao,2017-04-28,166
Brésil,Général,Diario da Regiao,2017-04-29,102
Brésil,Général,Diario da Regiao,2017-04-30,63
Brésil,Général,Diario da Regiao,2017-05-01,106
Brésil,Général,Diario da Regiao,2017-05-02,165
Brésil,Général,Diario da Regiao,2017-05-03,173
Brésil,Général,Diario da Regiao,2017-05-04,152
Brésil,Général,Diario da Regiao,2017-05-05,145
Brésil,Général,Diario da Regiao,2017-05-06,85
Brésil,Général,Diario da Regiao,2017-05-07,77
Brésil,Général,Diario da Regiao,2017-05-08,161
Brésil,Général,Diario da Regiao,2017-05-09,184
Brésil,Général,Diario da Regiao,2017-05-10,170
Brésil,Général,Diario da Regiao,2017-05-11,155
Brésil,Général,Diario da Regiao,2017-05-12,176
Brésil,Général,Diario da Regiao,2017-05-13,97
Brésil,Général,Diario da Regiao,2017-05-14,76
Brésil,Général,Diario da Regiao,2017-05-15,149
Brésil,Général,Diario da Regiao,2017-05-16,178
Brésil,Général,Diario da Regiao,2017-05-17,169
Brésil,Général,Diario da Regiao,2017-05-18,100
Brésil,Général,Anoticia,2016-05-08,47
Brésil,Général,Anoticia,2016-05-09,19
Brésil,Général,Anoticia,2016-05-10,150
Brésil,Général,Anoticia,2016-05-11,150
Brésil,Général,Anoticia,2016-05-12,150
Brésil,Général,Anoticia,2016-05-13,89
Brésil,Général,Anoticia,2016-05-14,129
Brésil,Général,Anoticia,2016-05-15,89
Brésil,Général,Anoticia,2016-05-16,123
Brésil,Général,Anoticia,2016-05-17,100
Brésil,Général,Anoticia,2016-05-18,139
Brésil,Général,Anoticia,2016-05-19,150
Brésil,Général,Anoticia,2016-05-20,142
Brésil,Général,Anoticia,2016-05-21,106
Brésil,Général,Anoticia,2016-05-22,60
Brésil,Général,Anoticia,2016-05-23,115
Brésil,Général,Anoticia,2016-05-24,149
Brésil,Général,Anoticia,2016-05-25,147
Brésil,Général,Anoticia,2016-05-26,150
Brésil,Général,Anoticia,2016-05-27,173
Brésil,Général,Anoticia,2016-05-28,82
Brésil,Général,Anoticia,2016-06-04,118
Brésil,Général,Anoticia,2016-06-05,50
Brésil,Général,Anoticia,2016-06-06,176
Brésil,Général,Anoticia,2016-06-07,150
Brésil,Général,Anoticia,2016-06-08,150
Brésil,Général,Anoticia,2016-06-09,150
Brésil,Général,Anoticia,2016-06-10,150
Brésil,Général,Anoticia,2016-06-11,81
Brésil,Général,Anoticia,2016-06-14,150
Brésil,Général,Anoticia,2016-06-15,100
Brésil,Général,Anoticia,2016-06-16,100
Brésil,Général,Anoticia,2016-06-21,150
Brésil,Général,Anoticia,2016-06-22,135
Brésil,Général,Anoticia,2016-06-23,132
Brésil,Général,Anoticia,2016-06-24,100
Brésil,Général,Anoticia,2016-06-25,152
Brésil,Général,Anoticia,2016-06-26,101
Brésil,Général,Anoticia,2016-06-27,126
Brésil,Général,Anoticia,2016-06-28,148
Brésil,Général,Anoticia,2016-06-29,148
Brésil,Général,Anoticia,2016-06-30,140
Brésil,Général,Anoticia,2016-07-01,100
Brésil,Général,Anoticia,2016-07-02,131
Brésil,Général,Anoticia,2016-07-23,112
Brésil,Général,Anoticia,2016-07-24,111
Brésil,Général,Anoticia,2016-07-25,114
Brésil,Général,Anoticia,2016-07-26,150
Brésil,Général,Anoticia,2016-07-27,150
Brésil,Général,Anoticia,2016-07-28,135
Brésil,Général,Anoticia,2016-07-29,150
Brésil,Général,Anoticia,2016-07-30,116
Brésil,Général,Anoticia,2016-07-31,70
Brésil,Général,Anoticia,2016-08-01,101
Brésil,Général,Anoticia,2016-08-02,135
Brésil,Général,Anoticia,2016-08-03,141
Brésil,Général,Anoticia,2016-08-04,150
Brésil,Général,Anoticia,2016-08-05,150
Brésil,Général,Anoticia,2016-08-06,108
Brésil,Général,Anoticia,2016-08-07,73
Brésil,Général,Anoticia,2016-08-08,133
Brésil,Général,Anoticia,2016-08-09,134
Brésil,Général,Anoticia,2016-08-10,87
Brésil,Général,Anoticia,2016-08-11,132
Brésil,Général,Anoticia,2016-08-12,124
Brésil,Général,Anoticia,2016-08-13,87
Brésil,Général,Anoticia,2016-08-14,102
Brésil,Général,Anoticia,2016-08-15,130
Brésil,Général,Anoticia,2016-08-16,116
Brésil,Général,Anoticia,2016-08-17,136
Brésil,Général,Anoticia,2016-08-18,133
Brésil,Général,Anoticia,2016-08-19,131
Brésil,Général,Anoticia,2016-08-20,105
Brésil,Général,Anoticia,2016-08-21,49
Brésil,Général,Anoticia,2016-08-22,102
Brésil,Général,Anoticia,2016-08-23,133
Brésil,Général,Anoticia,2016-08-24,135
Brésil,Général,Anoticia,2016-08-25,150
Brésil,Général,Anoticia,2016-08-26,137
Brésil,Général,Anoticia,2016-08-27,71
Brésil,Général,Anoticia,2016-08-28,105
Brésil,Général,Anoticia,2016-08-29,111
Brésil,Général,Anoticia,2016-08-30,140
Brésil,Général,Anoticia,2016-08-31,136
Brésil,Général,Anoticia,2016-09-01,96
Brésil,Général,Anoticia,2016-09-06,178
Brésil,Général,Anoticia,2016-09-07,116
Brésil,Général,Anoticia,2016-09-08,110
Brésil,Général,Anoticia,2016-09-09,76
Brésil,Général,Anoticia,2016-09-10,137
Brésil,Général,Anoticia,2016-09-17,95
Brésil,Général,Anoticia,2016-09-18,108
Brésil,Général,Anoticia,2016-09-19,112
Brésil,Général,Anoticia,2016-09-20,145
Brésil,Général,Anoticia,2016-09-21,38
Brésil,Général,Anoticia,2016-09-22,191
Brésil,Général,Anoticia,2016-09-23,118
Brésil,Général,Anoticia,2016-09-24,112
Brésil,Général,Anoticia,2016-09-25,1
Brésil,Général,Anoticia,2016-09-26,131
Brésil,Général,Anoticia,2016-09-27,132
Brésil,Général,Anoticia,2016-09-28,129
Brésil,Général,Anoticia,2016-09-29,122
Brésil,Général,Anoticia,2016-09-30,137
Brésil,Général,Anoticia,2016-10-01,120
Brésil,Général,Anoticia,2016-10-02,41
Brésil,Général,Anoticia,2016-10-03,155
Brésil,Général,Anoticia,2016-10-04,130
Brésil,Général,Anoticia,2016-10-05,121
Brésil,Général,Anoticia,2016-10-06,125
Brésil,Général,Anoticia,2016-10-07,125
Brésil,Général,Anoticia,2016-10-08,140
Brésil,Général,Anoticia,2016-10-09,18
Brésil,Général,Anoticia,2016-10-10,120
Brésil,Général,Anoticia,2016-10-11,143
Brésil,Général,Anoticia,2016-10-12,124
Brésil,Général,Anoticia,2016-10-13,117
Brésil,Général,Anoticia,2016-10-14,131
Brésil,Général,Anoticia,2016-10-15,80
Brésil,Général,Anoticia,2016-10-16,46
Brésil,Général,Anoticia,2016-10-17,97
Brésil,Général,Anoticia,2016-10-18,74
Brésil,Général,Anoticia,2016-10-20,150
Brésil,Général,Anoticia,2016-10-21,135
Brésil,Général,Anoticia,2016-10-22,99
Brésil,Général,Anoticia,2016-10-23,68
Brésil,Général,Anoticia,2016-10-24,116
Brésil,Général,Anoticia,2016-10-25,137
Brésil,Général,Anoticia,2016-10-26,132
Brésil,Général,Anoticia,2016-10-27,147
Brésil,Général,Anoticia,2016-10-28,136
Brésil,Général,Anoticia,2016-10-29,104
Brésil,Général,Anoticia,2016-10-30,19
Brésil,Général,Anoticia,2016-10-31,145
Brésil,Général,Anoticia,2016-11-01,110
Brésil,Général,Anoticia,2016-11-02,59
Brésil,Général,Anoticia,2016-11-03,70
Brésil,Général,Anoticia,2016-11-04,117
Brésil,Général,Anoticia,2016-11-05,4
Brésil,Général,Anoticia,2016-11-06,37
Brésil,Général,Anoticia,2016-11-07,56
Brésil,Général,Anoticia,2016-11-08,181
Brésil,Général,Anoticia,2016-11-09,130
Brésil,Général,Anoticia,2016-11-10,143
Brésil,Général,Anoticia,2016-11-11,137
Brésil,Général,Anoticia,2016-11-12,82
Brésil,Général,Anoticia,2016-11-13,72
Brésil,Général,Anoticia,2016-11-14,87
Brésil,Général,Anoticia,2016-11-15,101
Brésil,Général,Anoticia,2016-11-16,131
Brésil,Général,Anoticia,2016-11-17,114
Brésil,Général,Anoticia,2016-11-18,124
Brésil,Général,Anoticia,2016-11-19,48
Brésil,Général,Anoticia,2016-11-20,39
Brésil,Général,Anoticia,2016-11-21,117
Brésil,Général,Anoticia,2016-11-22,73
Brésil,Général,Anoticia,2016-11-23,129
Brésil,Général,Anoticia,2016-11-24,135
Brésil,Général,Anoticia,2016-11-25,124
Brésil,Général,Anoticia,2016-11-26,49
Brésil,Général,Anoticia,2016-11-27,25
Brésil,Général,Anoticia,2016-11-28,90
Brésil,Général,Anoticia,2016-11-29,195
Brésil,Général,Anoticia,2016-11-30,62
Brésil,Général,Anoticia,2016-12-17,94
Brésil,Général,Anoticia,2016-12-18,67
Brésil,Général,Anoticia,2016-12-19,72
Brésil,Général,Anoticia,2016-12-20,144
Brésil,Général,Anoticia,2016-12-21,126
Brésil,Général,Anoticia,2016-12-22,121
Brésil,Général,Anoticia,2016-12-23,113
Brésil,Général,Anoticia,2016-12-24,54
Brésil,Général,Anoticia,2016-12-26,112
Brésil,Général,Anoticia,2016-12-27,104
Brésil,Général,Anoticia,2016-12-28,119
Brésil,Général,Anoticia,2016-12-29,138
Brésil,Général,Anoticia,2016-12-30,55
Brésil,Général,Anoticia,2016-12-31,5
Brésil,Général,Anoticia,2017-01-01,61
Brésil,Général,Anoticia,2017-01-02,59
Brésil,Général,Anoticia,2017-01-03,67
Brésil,Général,Anoticia,2017-01-04,79
Brésil,Général,Anoticia,2017-01-05,70
Brésil,Général,Anoticia,2017-01-06,71
Brésil,Général,Anoticia,2017-01-07,15
Brésil,Général,Anoticia,2017-01-08,22
Brésil,Général,Anoticia,2017-01-09,64
Brésil,Général,Anoticia,2017-01-10,45
Brésil,Général,Anoticia,2017-01-11,138
Brésil,Général,Anoticia,2017-01-13,96
Brésil,Général,Anoticia,2017-01-14,3
Brésil,Général,Anoticia,2017-01-15,40
Brésil,Général,Anoticia,2017-01-16,131
Brésil,Général,Anoticia,2017-01-17,117
Brésil,Général,Anoticia,2017-01-18,128
Brésil,Général,Anoticia,2017-01-19,128
Brésil,Général,Anoticia,2017-01-20,143
Brésil,Général,Anoticia,2017-01-21,62
Brésil,Général,Anoticia,2017-01-22,66
Brésil,Général,Anoticia,2017-01-23,66
Brésil,Général,Anoticia,2017-01-24,115
Brésil,Général,Anoticia,2017-01-25,46
Brésil,Général,Anoticia,2017-01-26,94
Brésil,Général,Anoticia,2017-01-27,122
Brésil,Général,Anoticia,2017-01-28,36
Brésil,Général,Anoticia,2017-01-29,58
Brésil,Général,Anoticia,2017-01-30,127
Brésil,Général,Anoticia,2017-01-31,145
Brésil,Général,Anoticia,2017-02-01,130
Brésil,Général,Anoticia,2017-02-02,119
Brésil,Général,Anoticia,2017-02-03,97
Brésil,Général,Anoticia,2017-02-04,59
Brésil,Général,Anoticia,2017-02-05,62
Brésil,Général,Anoticia,2017-02-06,14
Brésil,Général,Anoticia,2017-02-16,97
Brésil,Général,Anoticia,2017-02-17,129
Brésil,Général,Anoticia,2017-02-18,59
Brésil,Général,Anoticia,2017-02-19,21
Brésil,Général,Anoticia,2017-02-20,138
Brésil,Général,Anoticia,2017-02-21,124
Brésil,Général,Anoticia,2017-02-22,126
Brésil,Général,Anoticia,2017-02-23,129
Brésil,Général,Anoticia,2017-02-24,73
Brésil,Général,Anoticia,2017-02-25,86
Brésil,Général,Anoticia,2017-02-26,23
Brésil,Général,Anoticia,2017-02-27,71
Brésil,Général,Anoticia,2017-02-28,114
Brésil,Général,Anoticia,2017-03-01,106
Brésil,Général,Anoticia,2017-03-02,120
Brésil,Général,Anoticia,2017-03-03,46
Brésil,Général,Anoticia,2017-03-22,32
Brésil,Général,Anoticia,2017-03-23,79
Brésil,Général,Anoticia,2017-03-24,112
Brésil,Général,Anoticia,2017-03-25,59
Brésil,Général,Anoticia,2017-03-26,21
Brésil,Général,Anoticia,2017-03-27,106
Brésil,Général,Anoticia,2017-03-28,106
Brésil,Général,Anoticia,2017-03-29,109
Brésil,Général,Anoticia,2017-03-30,110
Brésil,Général,Anoticia,2017-03-31,113
Brésil,Général,Anoticia,2017-04-01,80
Brésil,Général,Anoticia,2017-04-02,15
Brésil,Général,Anoticia,2017-04-03,81
Brésil,Général,Anoticia,2017-04-04,94
Brésil,Général,Anoticia,2017-04-05,128
Brésil,Général,Anoticia,2017-04-06,80
