country,subject,source,dateS,count
Pologne,Général,Dziennik,2016-04-21,1
Pologne,Général,Dziennik,2016-04-22,36
Pologne,Général,Dziennik,2016-04-23,64
Pologne,Général,Dziennik,2016-04-24,25
Pologne,Général,Dziennik,2016-05-05,30
Pologne,Général,Dziennik,2016-05-06,81
Pologne,Général,Dziennik,2016-05-07,38
Pologne,Général,Dziennik,2016-05-08,67
Pologne,Général,Dziennik,2016-05-09,23
Pologne,Général,Dziennik,2016-05-10,125
Pologne,Général,Dziennik,2016-05-11,110
Pologne,Général,Dziennik,2016-05-12,118
Pologne,Général,Dziennik,2016-05-13,97
Pologne,Général,Dziennik,2016-05-14,31
Pologne,Général,Dziennik,2016-05-15,76
Pologne,Général,Dziennik,2016-05-16,95
Pologne,Général,Dziennik,2016-05-17,124
Pologne,Général,Dziennik,2016-05-18,82
Pologne,Général,Dziennik,2016-05-19,97
Pologne,Général,Dziennik,2016-05-20,50
Pologne,Général,Dziennik,2016-05-21,43
Pologne,Général,Dziennik,2016-05-22,67
Pologne,Général,Dziennik,2016-05-23,82
Pologne,Général,Dziennik,2016-05-24,81
Pologne,Général,Dziennik,2016-05-25,62
Pologne,Général,Dziennik,2016-05-26,52
Pologne,Général,Dziennik,2016-05-27,77
Pologne,Général,Dziennik,2016-05-28,77
Pologne,Général,Dziennik,2016-06-03,13
Pologne,Général,Dziennik,2016-06-04,47
Pologne,Général,Dziennik,2016-06-05,68
Pologne,Général,Dziennik,2016-06-06,134
Pologne,Général,Dziennik,2016-06-07,109
Pologne,Général,Dziennik,2016-06-08,107
Pologne,Général,Dziennik,2016-06-09,133
Pologne,Général,Dziennik,2016-06-10,105
Pologne,Général,Dziennik,2016-06-11,36
Pologne,Général,Dziennik,2016-06-14,149
Pologne,Général,Dziennik,2016-06-15,70
Pologne,Général,Dziennik,2016-06-16,87
Pologne,Général,Dziennik,2016-06-21,132
Pologne,Général,Dziennik,2016-06-22,120
Pologne,Général,Dziennik,2016-06-23,107
Pologne,Général,Dziennik,2016-06-24,116
Pologne,Général,Dziennik,2016-06-25,50
Pologne,Général,Dziennik,2016-06-26,86
Pologne,Général,Dziennik,2016-06-27,116
Pologne,Général,Dziennik,2016-06-28,129
Pologne,Général,Dziennik,2016-06-29,84
Pologne,Général,Dziennik,2016-06-30,96
Pologne,Général,Dziennik,2016-07-01,133
Pologne,Général,Dziennik,2016-07-02,73
Pologne,Général,Dziennik,2016-07-22,1
Pologne,Général,Dziennik,2016-07-23,22
Pologne,Général,Dziennik,2016-07-24,57
Pologne,Général,Dziennik,2016-07-25,84
Pologne,Général,Dziennik,2016-07-26,75
Pologne,Général,Dziennik,2016-07-27,71
Pologne,Général,Dziennik,2016-07-28,63
Pologne,Général,Dziennik,2016-07-29,50
Pologne,Général,Dziennik,2016-07-30,50
Pologne,Général,Dziennik,2016-07-31,51
Pologne,Général,Dziennik,2016-08-01,78
Pologne,Général,Dziennik,2016-08-02,78
Pologne,Général,Dziennik,2016-08-03,80
