LEXICALUNIT	TOTALCORPUS1	TOTALCORPUS2	FILEDETAILS	LEXPOSPATTERNSC1	LEXPOSPATTERNSC2	POSPATTERNSC1	POSPATTERNSC2	SIMILARITY
rationalisme_NOM	29	26	./results/rationalisme_NOM.1987-1988.2005-2006.patterns.d3.csv	28	25	41	31	0.809898167947
exécutant_NOM	147	83	./results/exécutant_NOM.1987-1988.2005-2006.patterns.d3.csv	126	66	151	86	0.872550821683
court-circuit_NOM	14	29	./results/court-circuit_NOM.1987-1988.2005-2006.patterns.d3.csv	14	21	26	25	0.703526470681
piteusement_ADV	23	15	./results/piteusement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
contretemps_NOM	74	67	./results/contretemps_NOM.1987-1988.2005-2006.patterns.d3.csv	74	60	90	72	0.842538423213
flambé_ADJ	40	44	./results/flambé_ADJ.1987-1988.2005-2006.patterns.d3.csv	14	4	8	3	0.481543412343
béninoise_ADJ	4	16	./results/béninoise_ADJ.1987-1988.2005-2006.patterns.d3.csv	4	10	4	14	0.22360679775
décrédibilise_VER	3	10	./results/décrédibilise_VER.1987-1988.2005-2006.patterns.d3.csv	3	9	4	10	0.138675049056
occultation_NOM	31	29	./results/occultation_NOM.1987-1988.2005-2006.patterns.d3.csv	31	29	37	48	0.774450284157
nantissement_NOM	5	10	./results/nantissement_NOM.1987-1988.2005-2006.patterns.d3.csv	5	11	10	21	0.4743719033
rambla_NOM	12	18	./results/rambla_NOM.1987-1988.2005-2006.patterns.d3.csv	11	7	12	14	0.112687233964
hubris_NOM	1	12	./results/hubris_NOM.1987-1988.2005-2006.patterns.d3.csv	0	11	0	16	0
grand-duché_NOM	48	55	./results/grand-duché_NOM.1987-1988.2005-2006.patterns.d3.csv	25	13	29	22	0.770666305006
finalement_ADV	3876	3135	./results/finalement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
lamentable_ADJ	117	85	./results/lamentable_ADJ.1987-1988.2005-2006.patterns.d3.csv	118	82	123	86	0.816913780882
grappe_NOM	83	73	./results/grappe_NOM.1987-1988.2005-2006.patterns.d3.csv	82	73	109	112	0.950534474377
résonance_NOM	222	284	./results/résonance_NOM.1987-1988.2005-2006.patterns.d3.csv	224	278	232	289	0.891916848019
justifiable_ADJ	17	15	./results/justifiable_ADJ.1987-1988.2005-2006.patterns.d3.csv	17	15	17	26	0.672662225605
planète_NOM	923	2179	./results/planète_NOM.1987-1988.2005-2006.patterns.d3.csv	908	2152	584	859	0.991133943847
entrapercevoir_VER	7	11	./results/entrapercevoir_VER.1987-1988.2005-2006.patterns.d3.csv	7	11	9	22	0.230940107676
manipule_NOM	48	46	./results/manipule_NOM.1987-1988.2005-2006.patterns.d3.csv	6	11	9	8	0.740797197487
contracture_NOM	7	5	./results/contracture_NOM.1987-1988.2005-2006.patterns.d3.csv	7	5	7	10	0.0
pontage_NOM	23	12	./results/pontage_NOM.1987-1988.2005-2006.patterns.d3.csv	24	12	34	19	0.529200604736
dramaturgique_ADJ	13	27	./results/dramaturgique_ADJ.1987-1988.2005-2006.patterns.d3.csv	13	27	32	34	0.42345052229
grelot_NOM	15	21	./results/grelot_NOM.1987-1988.2005-2006.patterns.d3.csv	14	19	27	31	0.374788463427
transcrire_VER	92	84	./results/transcrire_VER.1987-1988.2005-2006.patterns.d3.csv	93	84	138	164	0.831376884033
scarabée_NOM	13	25	./results/scarabée_NOM.1987-1988.2005-2006.patterns.d3.csv	14	26	15	34	0.731705224385
sert_NOM	1363	1367	./results/sert_NOM.1987-1988.2005-2006.patterns.d3.csv	25	27	23	21	0.784972975722
retrouve_NOM	2629	2559	./results/retrouve_NOM.1987-1988.2005-2006.patterns.d3.csv	26	27	18	19	0.62561124709
re-création_NOM	5	7	./results/re-création_NOM.1987-1988.2005-2006.patterns.d3.csv	5	7	4	11	0.48304589154
licite_ADJ	59	53	./results/licite_ADJ.1987-1988.2005-2006.patterns.d3.csv	60	52	68	78	0.841990104868
orthophoniste_NOM	15	23	./results/orthophoniste_NOM.1987-1988.2005-2006.patterns.d3.csv	15	24	8	22	0.683516924242
accomplir_VER	1916	1217	./results/accomplir_VER.1987-1988.2005-2006.patterns.d3.csv	1928	1222	1076	867	0.984079563416
enthousiasmant_ADJ	36	46	./results/enthousiasmant_ADJ.1987-1988.2005-2006.patterns.d3.csv	34	40	32	39	0.626742474286
voûter_VER	59	50	./results/voûter_VER.1987-1988.2005-2006.patterns.d3.csv	59	50	63	60	0.892919369324
masochiste_ADJ	70	36	./results/masochiste_ADJ.1987-1988.2005-2006.patterns.d3.csv	58	28	66	37	0.56822042992
