LEXICALUNIT	TOTALCORPUS1	TOTALCORPUS2	FILEDETAILS	LEXPOSPATTERNSC1	LEXPOSPATTERNSC2	POSPATTERNSC1	POSPATTERNSC2	SIMILARITY
automne_NOM	2524	2046	./results/automne_NOM.1987-1988.2005-2006.patterns.d3.csv	2515	1999	743	559	0.965894090974
redoutablement_ADV	14	17	./results/redoutablement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
bourreau_NOM	304	311	./results/bourreau_NOM.1987-1988.2005-2006.patterns.d3.csv	295	309	233	279	0.965890636488
mystérieusement_ADV	64	67	./results/mystérieusement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
barbon_NOM	9	9	./results/barbon_NOM.1987-1988.2005-2006.patterns.d3.csv	9	8	11	8	0.0
syro-irakienne_ADJ	9	2	./results/syro-irakienne_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	2	7	3	0.452910813658
magnésium_NOM	16	21	./results/magnésium_NOM.1987-1988.2005-2006.patterns.d3.csv	16	21	16	16	0.935046753507
matinal_ADJ	137	157	./results/matinal_ADJ.1987-1988.2005-2006.patterns.d3.csv	137	158	130	183	0.835795046592
tigresse_NOM	10	10	./results/tigresse_NOM.1987-1988.2005-2006.patterns.d3.csv	10	10	7	21	0.11805626722
corner_VER	35	63	./results/corner_VER.1987-1988.2005-2006.patterns.d3.csv	16	23	23	40	0.4420293835
approximativement_ADV	83	28	./results/approximativement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
refaçonner_VER	7	6	./results/refaçonner_VER.1987-1988.2005-2006.patterns.d3.csv	7	6	13	9	0.0
extra-européen_ADJ	24	33	./results/extra-européen_ADJ.1987-1988.2005-2006.patterns.d3.csv	24	35	23	46	0.769907297915
dédramatiser_VER	92	65	./results/dédramatiser_VER.1987-1988.2005-2006.patterns.d3.csv	91	66	112	77	0.944692034479
exhiber_VER	239	189	./results/exhiber_VER.1987-1988.2005-2006.patterns.d3.csv	239	189	275	279	0.947100083644
béni_ADJ	92	63	./results/béni_ADJ.1987-1988.2005-2006.patterns.d3.csv	36	22	56	44	0.797109396379
lainage_NOM	22	19	./results/lainage_NOM.1987-1988.2005-2006.patterns.d3.csv	22	19	24	48	0.662474647464
narcotrafiquants_NOM	0	44	./results/narcotrafiquants_NOM.1987-1988.2005-2006.patterns.d3.csv	0	42	0	0	0
impressionnant_ADJ	921	789	./results/impressionnant_ADJ.1987-1988.2005-2006.patterns.d3.csv	902	770	486	458	0.974728394926
abréviation_NOM	25	24	./results/abréviation_NOM.1987-1988.2005-2006.patterns.d3.csv	25	24	31	29	0.817393337465
licorne_NOM	23	213	./results/licorne_NOM.1987-1988.2005-2006.patterns.d3.csv	17	33	11	22	0.795537962814
cloison_NOM	102	79	./results/cloison_NOM.1987-1988.2005-2006.patterns.d3.csv	102	79	135	113	0.913315425578
cultuel_ADJ	14	64	./results/cultuel_ADJ.1987-1988.2005-2006.patterns.d3.csv	15	66	24	87	0.777026295449
tomer_VER	9	18	./results/tomer_VER.1987-1988.2005-2006.patterns.d3.csv	9	15	19	26	0.613257239561
argileux_ADJ	10	17	./results/argileux_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	17	19	30	0.739065956052
avant-guerre_NOM	166	88	./results/avant-guerre_NOM.1987-1988.2005-2006.patterns.d3.csv	166	86	117	90	0.945339479764
automnal_ADJ	10	21	./results/automnal_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	21	15	32	0.598523983004
cameraman_NOM	68	99	./results/cameraman_NOM.1987-1988.2005-2006.patterns.d3.csv	66	89	81	117	0.812429750905
refonte_NOM	266	226	./results/refonte_NOM.1987-1988.2005-2006.patterns.d3.csv	268	225	216	205	0.969256803402
poitevin_NOM	55	52	./results/poitevin_NOM.1987-1988.2005-2006.patterns.d3.csv	4	7	6	7	0.0
chômage_NOM	4125	3806	./results/chômage_NOM.1987-1988.2005-2006.patterns.d3.csv	4098	3604	862	827	0.990484149905
anti-arméniennes_ADJ	11	0	./results/anti-arméniennes_ADJ.1987-1988.2005-2006.patterns.d3.csv	11	0	0	0	0
commodément_ADV	23	12	./results/commodément_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
grosseur_NOM	15	6	./results/grosseur_NOM.1987-1988.2005-2006.patterns.d3.csv	15	6	25	9	0.630061919162
argentier_NOM	69	68	./results/argentier_NOM.1987-1988.2005-2006.patterns.d3.csv	68	67	92	82	0.957202717106
java_NOM	94	90	./results/java_NOM.1987-1988.2005-2006.patterns.d3.csv	23	14	28	9	0.0
émetteur_ADJ	379	296	./results/émetteur_ADJ.1987-1988.2005-2006.patterns.d3.csv	66	64	95	84	0.787864272197
dédommager_VER	56	63	./results/dédommager_VER.1987-1988.2005-2006.patterns.d3.csv	56	64	95	121	0.82451445383
tropique_ADJ	94	74	./results/tropique_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	19	10	22	0.600187587936
yachting_NOM	13	12	./results/yachting_NOM.1987-1988.2005-2006.patterns.d3.csv	10	9	16	17	0.594650843494
vol_NOM	2989	2398	./results/vol_NOM.1987-1988.2005-2006.patterns.d3.csv	3151	2470	1005	860	0.996328441528
jalousie_NOM	248	222	./results/jalousie_NOM.1987-1988.2005-2006.patterns.d3.csv	250	222	209	162	0.968099234634
beauf_NOM	32	16	./results/beauf_NOM.1987-1988.2005-2006.patterns.d3.csv	30	14	17	25	0.255550626
râpé_ADJ	23	10	./results/râpé_ADJ.1987-1988.2005-2006.patterns.d3.csv	9	4	8	3	0.204124145232
bolivien_NOM	136	227	./results/bolivien_NOM.1987-1988.2005-2006.patterns.d3.csv	14	6	28	22	0.0
star_NOM	1427	1869	./results/star_NOM.1987-1988.2005-2006.patterns.d3.csv	1198	1351	698	774	0.978790150132
publiphobie_NOM	13	0	./results/publiphobie_NOM.1987-1988.2005-2006.patterns.d3.csv	12	0	0	0	0
pérenne_ADJ	7	153	./results/pérenne_ADJ.1987-1988.2005-2006.patterns.d3.csv	7	153	9	133	0.223802551943
chairman_NOM	29	15	./results/chairman_NOM.1987-1988.2005-2006.patterns.d3.csv	26	13	19	8	0.0171397792548
historien_NOM	1659	2112	./results/historien_NOM.1987-1988.2005-2006.patterns.d3.csv	1676	2129	843	897	0.96782716773
leucémique_ADJ	9	4	./results/leucémique_ADJ.1987-1988.2005-2006.patterns.d3.csv	8	3	12	10	0.372104203768
inaccompli_ADJ	10	8	./results/inaccompli_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	8	13	10	0.258198889747
pilosité_NOM	3	18	./results/pilosité_NOM.1987-1988.2005-2006.patterns.d3.csv	3	17	6	37	0.0
carnage_NOM	93	90	./results/carnage_NOM.1987-1988.2005-2006.patterns.d3.csv	93	88	127	127	0.829491574788
hypothermie_NOM	5	14	./results/hypothermie_NOM.1987-1988.2005-2006.patterns.d3.csv	5	13	6	20	0.60920769908
invalidation_NOM	28	21	./results/invalidation_NOM.1987-1988.2005-2006.patterns.d3.csv	29	21	53	42	0.869583794761
singapouriens_NOM	15	15	./results/singapouriens_NOM.1987-1988.2005-2006.patterns.d3.csv	5	9	9	9	0.0962250448649
rubis_NOM	51	60	./results/rubis_NOM.1987-1988.2005-2006.patterns.d3.csv	49	60	62	70	0.7617557112
bassiner_VER	17	8	./results/bassiner_VER.1987-1988.2005-2006.patterns.d3.csv	17	8	35	16	0.368404724806
sécrétion_NOM	23	28	./results/sécrétion_NOM.1987-1988.2005-2006.patterns.d3.csv	23	29	43	49	0.742746679284
désulfuration_NOM	10	2	./results/désulfuration_NOM.1987-1988.2005-2006.patterns.d3.csv	10	2	33	3	0.303821810125
sinuer_VER	6	10	./results/sinuer_VER.1987-1988.2005-2006.patterns.d3.csv	6	10	18	9	0.0698856557815
fataliste_NOM	59	84	./results/fataliste_NOM.1987-1988.2005-2006.patterns.d3.csv	11	7	10	10	0.181568259801
quatre-vingt_NOM	2361	260	./results/quatre-vingt_NOM.1987-1988.2005-2006.patterns.d3.csv	220	15	115	20	0.776503586889
obtention_NOM	210	283	./results/obtention_NOM.1987-1988.2005-2006.patterns.d3.csv	210	281	181	193	0.990553750922
concrétion_NOM	15	6	./results/concrétion_NOM.1987-1988.2005-2006.patterns.d3.csv	15	6	26	11	0.642658392136
délocaliser_VER	66	332	./results/délocaliser_VER.1987-1988.2005-2006.patterns.d3.csv	66	340	75	349	0.77337200451
swappé_NOM	18	0	./results/swappé_NOM.1987-1988.2005-2006.patterns.d3.csv	12	0	0	0	0
génome_NOM	64	173	./results/génome_NOM.1987-1988.2005-2006.patterns.d3.csv	65	188	108	234	0.834919331887
invraisemblance_NOM	43	34	./results/invraisemblance_NOM.1987-1988.2005-2006.patterns.d3.csv	42	34	67	50	0.817502065719
venin_NOM	50	26	./results/venin_NOM.1987-1988.2005-2006.patterns.d3.csv	49	24	82	42	0.555476189342
silence_NOM	2866	2078	./results/silence_NOM.1987-1988.2005-2006.patterns.d3.csv	2809	1994	983	782	0.994189789388
play-boy_NOM	40	35	./results/play-boy_NOM.1987-1988.2005-2006.patterns.d3.csv	37	34	65	46	0.81989159175
courante_NOM	465	375	./results/courante_NOM.1987-1988.2005-2006.patterns.d3.csv	15	3	35	6	0.0
défavorablement_ADV	20	7	./results/défavorablement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
corvette_NOM	45	36	./results/corvette_NOM.1987-1988.2005-2006.patterns.d3.csv	43	24	63	39	0.744726924018
réécrire_VER	141	149	./results/réécrire_VER.1987-1988.2005-2006.patterns.d3.csv	142	149	174	193	0.909947368987
blanchâtre_ADJ	17	12	./results/blanchâtre_ADJ.1987-1988.2005-2006.patterns.d3.csv	17	12	26	31	0.451762665758
malformation_NOM	69	70	./results/malformation_NOM.1987-1988.2005-2006.patterns.d3.csv	74	72	117	101	0.891071035018
cocaïnomane_NOM	0	14	./results/cocaïnomane_NOM.1987-1988.2005-2006.patterns.d3.csv	0	14	0	0	0
socio-professionnel_ADJ	12	0	./results/socio-professionnel_ADJ.1987-1988.2005-2006.patterns.d3.csv	11	0	0	0	0
corvée_NOM	62	54	./results/corvée_NOM.1987-1988.2005-2006.patterns.d3.csv	61	53	77	47	0.811718382573
suppôt_NOM	18	19	./results/suppôt_NOM.1987-1988.2005-2006.patterns.d3.csv	18	19	30	24	0.820308263233
inépuisable_ADJ	166	156	./results/inépuisable_ADJ.1987-1988.2005-2006.patterns.d3.csv	166	156	177	140	0.855374202764
insoumis_NOM	51	67	./results/insoumis_NOM.1987-1988.2005-2006.patterns.d3.csv	30	27	37	39	0.276385399196
souffreteux_ADJ	9	9	./results/souffreteux_ADJ.1987-1988.2005-2006.patterns.d3.csv	9	9	15	10	0.0816496580928
repeuplement_NOM	10	5	./results/repeuplement_NOM.1987-1988.2005-2006.patterns.d3.csv	10	5	33	10	0.465775820953
scintiller_VER	59	46	./results/scintiller_VER.1987-1988.2005-2006.patterns.d3.csv	59	46	77	78	0.902487525405
médiatiquement_NOM	17	18	./results/médiatiquement_NOM.1987-1988.2005-2006.patterns.d3.csv	15	18	19	36	0.136487772608
jamaïcains_ADJ	0	19	./results/jamaïcains_ADJ.1987-1988.2005-2006.patterns.d3.csv	0	17	0	0	0
désaltérer_VER	21	9	./results/désaltérer_VER.1987-1988.2005-2006.patterns.d3.csv	21	9	37	19	0.588667287226
truculent_ADJ	77	56	./results/truculent_ADJ.1987-1988.2005-2006.patterns.d3.csv	77	56	70	67	0.657636850488
prieur_NOM	132	58	./results/prieur_NOM.1987-1988.2005-2006.patterns.d3.csv	67	29	91	47	0.603752550078
rembourser_VER	854	804	./results/rembourser_VER.1987-1988.2005-2006.patterns.d3.csv	875	819	587	600	0.990015513872
pro-européen_ADJ	2	29	./results/pro-européen_ADJ.1987-1988.2005-2006.patterns.d3.csv	2	23	1	30	0.0
raft_NOM	13	12	./results/raft_NOM.1987-1988.2005-2006.patterns.d3.csv	6	9	5	7	0.682242292338
affamé_ADJ	76	74	./results/affamé_ADJ.1987-1988.2005-2006.patterns.d3.csv	61	56	63	51	0.806703601376
poing_NOM	512	375	./results/poing_NOM.1987-1988.2005-2006.patterns.d3.csv	507	368	267	223	0.98290144278
étymologie_NOM	48	42	./results/étymologie_NOM.1987-1988.2005-2006.patterns.d3.csv	48	42	64	57	0.901406697822
lexique_NOM	59	131	./results/lexique_NOM.1987-1988.2005-2006.patterns.d3.csv	55	95	86	129	0.872398855177
lapsus_NOM	64	73	./results/lapsus_NOM.1987-1988.2005-2006.patterns.d3.csv	62	73	73	86	0.776431851059
califourchon_ADV	6	6	./results/califourchon_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
orangé_NOM	20	47	./results/orangé_NOM.1987-1988.2005-2006.patterns.d3.csv	7	8	8	13	0.492365963917
rétabli_ADJ	255	139	./results/rétabli_ADJ.1987-1988.2005-2006.patterns.d3.csv	14	9	16	12	0.465474668126
embouchure_NOM	49	37	./results/embouchure_NOM.1987-1988.2005-2006.patterns.d3.csv	49	36	61	46	0.953262081875
poster_VER	231	258	./results/poster_VER.1987-1988.2005-2006.patterns.d3.csv	171	160	201	199	0.966401893271
araignée_NOM	130	125	./results/araignée_NOM.1987-1988.2005-2006.patterns.d3.csv	123	114	151	143	0.940999847675
post_NOM	1008	906	./results/post_NOM.1987-1988.2005-2006.patterns.d3.csv	16	12	20	16	0.820350716475
bonbonnière_NOM	19	8	./results/bonbonnière_NOM.1987-1988.2005-2006.patterns.d3.csv	19	8	30	17	0.481614641308
céladon_NOM	12	15	./results/céladon_NOM.1987-1988.2005-2006.patterns.d3.csv	5	14	7	19	0.177646236674
petit-déjeuner_VER	17	53	./results/petit-déjeuner_VER.1987-1988.2005-2006.patterns.d3.csv	10	11	9	14	0.62112999375
balbutier_VER	31	26	./results/balbutier_VER.1987-1988.2005-2006.patterns.d3.csv	31	26	35	48	0.306186217848
sympathiser_VER	73	58	./results/sympathiser_VER.1987-1988.2005-2006.patterns.d3.csv	73	58	67	63	0.857053421489
délocalisables_ADJ	0	11	./results/délocalisables_ADJ.1987-1988.2005-2006.patterns.d3.csv	0	11	0	0	0
immangeable_ADJ	6	5	./results/immangeable_ADJ.1987-1988.2005-2006.patterns.d3.csv	6	5	7	3	0.0
coordonner_VER	596	611	./results/coordonner_VER.1987-1988.2005-2006.patterns.d3.csv	598	610	452	412	0.959404232052
démarquage_NOM	9	9	./results/démarquage_NOM.1987-1988.2005-2006.patterns.d3.csv	9	9	13	14	0.283019655071
romancer_VER	59	56	./results/romancer_VER.1987-1988.2005-2006.patterns.d3.csv	59	57	77	66	0.893377359247
rhume_NOM	38	32	./results/rhume_NOM.1987-1988.2005-2006.patterns.d3.csv	38	30	55	42	0.731835502179
reaganiens_NOM	13	0	./results/reaganiens_NOM.1987-1988.2005-2006.patterns.d3.csv	13	0	0	0	0
tituber_VER	25	16	./results/tituber_VER.1987-1988.2005-2006.patterns.d3.csv	25	16	41	28	0.585164839671
bobo_NOM	53	140	./results/bobo_NOM.1987-1988.2005-2006.patterns.d3.csv	32	116	27	106	0.692326875445
encourageant_ADJ	547	323	./results/encourageant_ADJ.1987-1988.2005-2006.patterns.d3.csv	438	232	270	182	0.969421271676
franco-belge_ADJ	29	68	./results/franco-belge_ADJ.1987-1988.2005-2006.patterns.d3.csv	23	58	45	72	0.637798200417
terroir_NOM	197	204	./results/terroir_NOM.1987-1988.2005-2006.patterns.d3.csv	195	204	177	188	0.977849246935
coaxial_ADJ	34	3	./results/coaxial_ADJ.1987-1988.2005-2006.patterns.d3.csv	34	3	48	9	0.451769902935
entourer_VER	1837	1542	./results/entourer_VER.1987-1988.2005-2006.patterns.d3.csv	1841	1542	820	733	0.994421329369
rhodanien_ADJ	30	11	./results/rhodanien_ADJ.1987-1988.2005-2006.patterns.d3.csv	30	11	38	12	0.824484857895
entrepreneuriales_ADJ	3	9	./results/entrepreneuriales_ADJ.1987-1988.2005-2006.patterns.d3.csv	3	9	9	8	0.22866478019
sauvette_ADV	97	40	./results/sauvette_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
cyclo_NOM	30	16	./results/cyclo_NOM.1987-1988.2005-2006.patterns.d3.csv	6	5	5	4	0.0
ruelle_NOM	253	171	./results/ruelle_NOM.1987-1988.2005-2006.patterns.d3.csv	232	165	261	198	0.972480506472
pénitentiaire_ADJ	790	403	./results/pénitentiaire_ADJ.1987-1988.2005-2006.patterns.d3.csv	848	407	359	225	0.98235125387
xx_NOM	46	15	./results/xx_NOM.1987-1988.2005-2006.patterns.d3.csv	40	1	4	1	0.0
scientifique_ADJ	3841	3706	./results/scientifique_ADJ.1987-1988.2005-2006.patterns.d3.csv	3969	3794	1004	1093	0.989880969264
arrière-petit-fils_NOM	16	14	./results/arrière-petit-fils_NOM.1987-1988.2005-2006.patterns.d3.csv	15	14	10	9	0.810574641844
string_NOM	5	30	./results/string_NOM.1987-1988.2005-2006.patterns.d3.csv	3	24	2	35	0.0
moellon_NOM	9	4	./results/moellon_NOM.1987-1988.2005-2006.patterns.d3.csv	9	4	14	7	0.435835868463
genevois_ADJ	150	99	./results/genevois_ADJ.1987-1988.2005-2006.patterns.d3.csv	103	78	95	76	0.85858167837
mite_NOM	9	3	./results/mite_NOM.1987-1988.2005-2006.patterns.d3.csv	8	3	12	9	0.579066024144
pack_NOM	50	58	./results/pack_NOM.1987-1988.2005-2006.patterns.d3.csv	50	51	62	68	0.660462516268
driver_VER	24	42	./results/driver_VER.1987-1988.2005-2006.patterns.d3.csv	6	10	10	15	0.462068853389
inhérent_ADJ	198	180	./results/inhérent_ADJ.1987-1988.2005-2006.patterns.d3.csv	200	181	167	143	0.987487128605
asymétrie_NOM	52	37	./results/asymétrie_NOM.1987-1988.2005-2006.patterns.d3.csv	53	40	77	62	0.747532478384
conservation_NOM	314	340	./results/conservation_NOM.1987-1988.2005-2006.patterns.d3.csv	314	326	205	219	0.987988969112
édifice_NOM	589	559	./results/édifice_NOM.1987-1988.2005-2006.patterns.d3.csv	596	562	542	509	0.958939607455
désendettement_NOM	65	84	./results/désendettement_NOM.1987-1988.2005-2006.patterns.d3.csv	64	85	76	86	0.920357851734
investigation_NOM	575	835	./results/investigation_NOM.1987-1988.2005-2006.patterns.d3.csv	573	832	490	501	0.982619928272
pavillon_NOM	863	664	./results/pavillon_NOM.1987-1988.2005-2006.patterns.d3.csv	874	647	584	476	0.913823933966
anti-immigrés_ADJ	12	6	./results/anti-immigrés_ADJ.1987-1988.2005-2006.patterns.d3.csv	12	6	21	7	0.151910905063
zappeurs_NOM	8	6	./results/zappeurs_NOM.1987-1988.2005-2006.patterns.d3.csv	8	5	8	5	0.0
buanderie_NOM	8	4	./results/buanderie_NOM.1987-1988.2005-2006.patterns.d3.csv	8	4	5	5	0.0
littérateur_NOM	25	13	./results/littérateur_NOM.1987-1988.2005-2006.patterns.d3.csv	25	13	34	22	0.620542714141
sans-voix_NOM	11	10	./results/sans-voix_NOM.1987-1988.2005-2006.patterns.d3.csv	11	10	20	9	0.823754471048
rigolote_ADJ	19	12	./results/rigolote_ADJ.1987-1988.2005-2006.patterns.d3.csv	18	11	12	9	0.0860662965824
anthropique_ADJ	0	22	./results/anthropique_ADJ.1987-1988.2005-2006.patterns.d3.csv	0	22	0	0	0
vigilant_ADJ	343	307	./results/vigilant_ADJ.1987-1988.2005-2006.patterns.d3.csv	296	253	212	194	0.954139325814
rénovation_NOM	690	615	./results/rénovation_NOM.1987-1988.2005-2006.patterns.d3.csv	695	629	393	372	0.963657391111
chaussette_NOM	84	102	./results/chaussette_NOM.1987-1988.2005-2006.patterns.d3.csv	84	105	83	123	0.935199353488
serpentin_NOM	15	22	./results/serpentin_NOM.1987-1988.2005-2006.patterns.d3.csv	5	6	7	10	0.67082039325
taïga_NOM	0	18	./results/taïga_NOM.1987-1988.2005-2006.patterns.d3.csv	0	17	0	0	0
comportemental_ADJ	10	87	./results/comportemental_ADJ.1987-1988.2005-2006.patterns.d3.csv	10	86	11	61	0.438033510551
servitude_NOM	122	80	./results/servitude_NOM.1987-1988.2005-2006.patterns.d3.csv	125	80	127	86	0.891202846427
apparition_NOM	1421	1254	./results/apparition_NOM.1987-1988.2005-2006.patterns.d3.csv	1421	1251	628	582	0.994127120235
ancrage_NOM	210	227	./results/ancrage_NOM.1987-1988.2005-2006.patterns.d3.csv	209	220	208	258	0.959361243217
obliger_VER	3765	2732	./results/obliger_VER.1987-1988.2005-2006.patterns.d3.csv	3774	2741	1064	932	0.995366560863
pendant_PRP	13630	11385	./results/pendant_PRP.1987-1988.2005-2006.patterns.d3.csv	13071	10535	1286	1201	0.995023038831
boucler_VER	628	636	./results/boucler_VER.1987-1988.2005-2006.patterns.d3.csv	630	639	429	476	0.980436027565
pressant_ADJ	318	144	./results/pressant_ADJ.1987-1988.2005-2006.patterns.d3.csv	255	114	223	136	0.935848797807
dénutrition_NOM	3	9	./results/dénutrition_NOM.1987-1988.2005-2006.patterns.d3.csv	3	9	4	8	0.66873385509
continuum_NOM	5	28	./results/continuum_NOM.1987-1988.2005-2006.patterns.d3.csv	5	27	13	44	0.228747855499
surarmé_ADJ	11	4	./results/surarmé_ADJ.1987-1988.2005-2006.patterns.d3.csv	7	4	7	5	0.0
martinet_NOM	67	98	./results/martinet_NOM.1987-1988.2005-2006.patterns.d3.csv	12	11	18	11	0.380509717074
réattribution_NOM	34	3	./results/réattribution_NOM.1987-1988.2005-2006.patterns.d3.csv	34	3	36	8	0.377916426881
assombrir_VER	128	96	./results/assombrir_VER.1987-1988.2005-2006.patterns.d3.csv	129	96	219	139	0.88391418201
perfection_NOM	316	243	./results/perfection_NOM.1987-1988.2005-2006.patterns.d3.csv	319	241	300	223	0.959121893735
ghettoïsation_NOM	0	40	./results/ghettoïsation_NOM.1987-1988.2005-2006.patterns.d3.csv	0	40	0	0	0
rubicon_NOM	43	15	./results/rubicon_NOM.1987-1988.2005-2006.patterns.d3.csv	16	4	43	10	0.461566331377
saphir_ADJ	24	49	./results/saphir_ADJ.1987-1988.2005-2006.patterns.d3.csv	6	8	10	11	0.310086836473
amphitryon_NOM	20	12	./results/amphitryon_NOM.1987-1988.2005-2006.patterns.d3.csv	12	7	14	8	0.0714285714286
seiche_NOM	7	14	./results/seiche_NOM.1987-1988.2005-2006.patterns.d3.csv	6	16	6	13	0.732766681973
macro_ADJ	190	82	./results/macro_ADJ.1987-1988.2005-2006.patterns.d3.csv	9	10	9	12	0.0
électrocardiogramme_NOM	12	5	./results/électrocardiogramme_NOM.1987-1988.2005-2006.patterns.d3.csv	12	5	16	9	0.235702260396
ad_ADV	332	232	./results/ad_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
combativité_NOM	104	60	./results/combativité_NOM.1987-1988.2005-2006.patterns.d3.csv	105	58	125	104	0.886576318614
effectivement_ADV	1381	841	./results/effectivement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
volontairement_ADV	622	395	./results/volontairement_ADV.1987-1988.2005-2006.patterns.d3.csv	0	0	0	0	0
moindre_ADJ	3442	2472	./results/moindre_ADJ.1987-1988.2005-2006.patterns.d3.csv	3512	2497	803	653	0.995523768996
